Designator,Mid X,Mid Y,Rotation,Layer
D1,122.85,-102.975,0.0,top
D2,113.15,-102.975,0.0,top
J1,134.115,-92.215,0.0,top
SW1,107.15625,-114.59125,0.0,top
SW2,126.20625,-114.59125,0.0,top
SW3,145.25625,-114.59125,0.0,top
SW4,107.15625,-133.64125,0.0,top
SW5,126.20625,-133.64125,0.0,top
SW6,145.25625,-133.64125,0.0,top
U1,145.62,-96.68,0.0,top
